attr	D_hierarchical_3	D_hierarchical_4	D_km_2	D_km_3
attractor938	1	1	1	3
attractor939	1	1	1	3
attractor940	2	2	2	1
attractor941	2	2	2	1
attractor942	1	1	1	3
attractor943	2	2	2	1
attractor944	3	4	1	3
attractor945	1	1	1	3
attractor946	2	2	2	1
attractor947	2	2	2	1
attractor948	2	2	2	2
attractor949	2	2	2	2
attractor950	2	2	2	2
attractor951	2	2	2	2
attractor952	1	1	1	3
attractor953	2	2	2	2
attractor954	1	1	1	3
attractor955	2	3	2	1
attractor956	1	1	1	3
attractor957	2	2	2	1
attractor958	2	2	2	2
attractor959	2	2	2	2
attractor960	2	2	2	2
attractor961	2	2	2	1
attractor962	2	2	2	1
attractor963	2	2	2	1
attractor964	3	4	1	3
attractor965	1	1	1	3
attractor966	2	3	2	2
attractor967	2	2	2	2
attractor968	2	2	2	1
attractor969	2	2	2	1
attractor970	2	2	2	1
attractor971	2	2	2	1
attractor972	1	1	1	3
attractor973	2	2	2	2
attractor974	2	2	2	1
attractor975	2	2	2	1
attractor976	1	1	1	3
attractor977	2	2	2	1
attractor978	2	2	2	1
attractor979	2	2	2	2
attractor980	2	2	2	2
attractor981	2	2	2	1
attractor982	2	2	2	1
attractor983	3	4	1	2
attractor984	2	2	2	1
attractor985	2	2	2	1
attractor986	1	1	1	2
attractor987	2	2	2	1
attractor988	3	4	1	3
attractor989	1	1	1	3
attractor990	2	3	2	1
attractor991	2	2	2	2
attractor992	2	2	2	2
attractor993	2	2	2	1
attractor994	1	1	1	3
attractor995	2	2	2	1
attractor996	3	4	2	1
attractor997	2	2	2	1
attractor998	2	2	2	1
attractor999	2	2	2	1
attractor1000	2	2	2	1
